date,1. open,2. high,3. low,adj_close,5. volume
2025-08-15,232.5800,234.0800,229.8070,231.03,39649244
2025-08-14,227.4000,233.1100,227.0200,230.98,61545824
2025-08-13,222.0000,224.9185,222.0000,224.56,36508335
2025-08-12,222.2300,223.5000,219.0500,221.47,37254707
2025-08-11,221.7800,223.0500,220.4000,221.3,31646222
2025-08-08,223.1400,223.8000,221.8836,222.69,32970477
2025-08-07,221.0000,226.2200,220.8200,223.13,40603513
2025-08-06,214.6950,222.6500,213.7409,222.31,54823045
2025-08-05,213.0500,216.3000,212.8700,213.75,51505121
2025-08-04,217.4000,217.4400,211.4200,211.65,77890146
2025-08-01,217.2100,220.4399,212.8000,214.75,122258801
2025-07-31,235.7700,236.5300,231.4000,234.11,104357263
2025-07-30,231.6400,231.8000,229.2900,230.19,32993273
2025-07-29,234.1500,234.7200,230.3100,231.01,33716220
2025-07-28,233.3500,234.2900,232.2500,232.79,26300138
2025-07-25,232.2200,232.4800,231.1800,231.44,28712095
2025-07-24,229.1700,236.0000,228.6400,232.23,42902266
2025-07-23,228.4700,228.7900,227.0900,228.29,28294852
2025-07-22,229.6800,230.0000,226.3500,227.47,37483702
2025-07-21,225.8350,229.6900,225.6500,229.3,40297556
2025-07-18,225.1400,226.4000,222.9800,226.13,37833807
2025-07-17,223.3200,224.5000,222.5100,223.88,31855831
2025-07-16,225.8750,226.1000,222.1800,223.19,39535926
2025-07-15,226.2000,227.2700,225.4550,226.35,34907294
2025-07-14,225.0700,226.6600,224.2400,225.69,35702597
2025-07-11,223.5800,226.6799,222.3700,225.02,50518307
2025-07-10,221.5500,222.7900,219.7000,222.26,30370591
2025-07-09,221.0700,224.2900,220.4700,222.54,38155121
2025-07-08,223.9150,224.0000,218.4300,219.36,45691987
2025-07-07,223.0000,224.2900,222.3700,223.47,36604139
2025-07-03,221.8200,224.0100,221.3600,223.41,29632353
2025-07-02,219.7300,221.6000,219.0600,219.92,30894178
2025-07-01,219.5000,221.8750,217.9300,220.46,39256830
2025-06-30,223.5200,223.8200,219.1200,219.39,58887780
2025-06-27,219.9200,223.3000,216.7400,223.3,119217138
2025-06-26,213.1200,218.0350,212.0100,217.12,50480814
2025-06-25,214.6150,216.0300,211.1100,211.99,31755698
2025-06-24,212.1350,214.3400,211.0450,212.77,38378757
2025-06-23,209.7900,210.3900,207.3101,208.47,37311725
2025-06-20,214.6800,214.8900,208.2709,209.69,75350733
2025-06-18,215.0900,217.9600,212.3400,212.52,44360509
2025-06-17,215.1950,217.4100,214.5600,214.82,32086262
2025-06-16,212.3100,217.0600,211.6000,216.1,33284158
2025-06-13,209.9600,214.0500,209.6200,212.1,29337763
2025-06-12,211.7800,213.5800,211.3300,213.24,27639991
2025-06-11,217.4100,218.4000,212.8900,213.2,39325981
2025-06-10,216.7800,217.6900,214.1500,217.61,31303317
2025-06-09,214.7500,217.8500,212.8800,216.98,38102502
2025-06-06,212.4000,213.8699,210.5000,213.57,39832500
2025-06-05,209.5500,212.8100,207.5600,207.91,51979243
2025-06-04,206.5500,208.1800,205.1800,207.23,29915592
2025-06-03,207.1050,208.9469,205.0300,205.71,33139121
2025-06-02,204.9800,207.0000,202.6800,206.65,29113319
2025-05-30,204.8400,205.9900,201.6950,205.01,51679406
2025-05-29,208.0250,208.8100,204.2300,205.7,34700005
2025-05-28,205.9150,207.6600,204.4100,204.72,28549753
2025-05-27,203.0850,206.6900,202.1900,206.02,34892044
2025-05-23,198.9000,202.3700,197.8500,200.99,33393545
2025-05-22,201.3800,205.7600,200.1600,203.1,38938882
2025-05-21,201.6100,203.4550,200.0600,201.12,42460924
2025-05-20,204.6280,205.5899,202.6500,204.07,29470373
2025-05-19,201.6450,206.6200,201.2600,206.16,34314810
2025-05-16,206.8500,206.8500,204.3740,205.59,43318478
2025-05-15,206.4500,206.8800,202.6730,205.17,64347317
2025-05-14,211.4500,211.9300,208.8500,210.25,38492128
2025-05-13,211.0800,214.8400,210.1000,211.37,56193682
2025-05-12,210.7100,211.6600,205.7500,208.64,75205042
2025-05-09,193.3750,194.6900,191.1600,193.06,29663143
2025-05-08,191.4300,194.3300,188.8200,192.08,41043620
2025-05-07,185.5600,190.9900,185.0100,188.71,44002926
2025-05-06,184.5700,187.9300,183.8500,185.01,29314055
2025-05-05,186.5100,188.1800,185.5300,186.35,35217469
2025-05-02,191.4350,192.8800,186.4000,189.98,77903487
2025-05-01,190.6300,191.8071,187.5000,190.2,74265963
2025-04-30,182.1700,185.0500,178.8500,184.42,55176543
2025-04-29,183.9900,188.0158,183.6800,187.39,41667255
2025-04-28,190.1050,190.2200,184.8850,187.7,33224732
2025-04-25,187.6200,189.9400,185.4900,188.99,36414330
2025-04-24,180.9150,186.7400,180.1800,186.54,43763196
2025-04-23,183.4500,187.3800,180.1900,180.6,63470149
2025-04-22,169.8450,176.7800,169.3500,173.18,56607202
2025-04-21,169.6000,169.6000,165.2850,167.32,48126111
2025-04-17,176.0000,176.2100,172.0000,172.61,44726453
2025-04-16,176.2900,179.1046,171.4100,174.33,51875316
2025-04-15,181.4100,182.3500,177.9331,179.59,43641952
2025-04-14,186.8400,187.4400,179.2300,182.12,48002540
2025-04-11,179.9300,185.8600,178.0000,184.87,50594339
2025-04-10,185.4400,186.8692,175.8518,181.22,68302045
2025-04-09,172.1150,192.6500,169.9300,191.1,116804328
2025-04-08,185.2300,185.9000,168.5700,170.66,87710360
2025-04-07,162.0000,183.4099,161.3800,175.26,109327115
2025-04-04,167.1450,178.1436,166.0000,171.0,123159359
2025-04-03,182.9950,184.1300,176.9200,178.41,95553617
2025-04-02,187.6600,198.3400,187.6600,196.01,53679198
2025-04-01,187.8600,193.9300,187.2000,192.17,41267315
2025-03-31,188.1900,191.3300,184.4000,190.26,63547558
2025-03-28,198.4200,199.2600,191.8810,192.72,52548226
2025-03-27,200.8900,203.7900,199.2821,201.36,27317661
2025-03-26,205.8350,206.0100,199.9250,201.13,32990973
2025-03-25,203.5950,206.2100,203.2200,205.71,31171161
